xflr5 v6.47											
											
Plane Name											
T1-10.0 m/s-Panel-Inviscid											
QInf  =	10	m/s									
Alpha = 	10										
Beta  = 	   0.000°										
Phi   = 	   0.000°										
Ctrl  = 	0										
CL    = 	1.216729										
Cy    = 	0										
Cd=	0.05105	ICd=	0.05105	PCd=	0						
Cl   = 	4.26E-16										
Cm   =	-1.55736										
ICn=	0	PCn=	0								
XCP=	10.816701	 YCP=	0	 ZCP=	1.021642						
XNP=	0										
Bending =	275043.0313										
											
Main Wing											
  y-span	Chord	Ai	Cl	PCd	ICd	CmGeom	CmAirf@chord/4	XTrtop	XTrBot	XCP	BM
156	1.64E+01	-3.14E+01	1.21E+00	-0.799	-0.399	0.45	1.87E-01	-3.6469			
157	1.65E+01	-3.14E+01	1.32E+00	-0.485	-0.225	0.845	2.87E-01	-3.1754			
158	1.67E+01	-3.14E+01	1.43E+00	-0.32	-0.139	0.937	4.14E-01	-2.1749			
159	1.71E+01	-3.14E+01	1.52E+00	-0.206	-0.083	0.975	5.23E-01	-1.7767			
160	1.75E+01	-3.14E+01	1.59E+00	-0.101	-0.033	0.994	6.06E-01	-1.5312			
161	1.80E+01	-3.14E+01	1.61E+00	0.003	0.013	1	6.60E-01	-1.2749			
162	1.85E+01	-3.14E+01	1.59E+00	0.097	0.052	0.994	6.83E-01	-0.9631			
163	1.91E+01	-3.14E+01	1.52E+00	0.163	0.077	0.984	6.70E-01	-0.6451			
164	1.96E+01	-3.14E+01	1.43E+00	0.204	0.092	0.975	6.16E-01	-0.3719			
165	2.00E+01	-3.14E+01	1.33E+00	0.222	0.098	0.97	5.23E-01	-0.1656			
166	2.04E+01	-3.14E+01	1.25E+00	0.226	0.099	0.969	3.98E-01	-0.0307			
167	2.06E+01	-3.14E+01	1.19E+00	0.24	0.103	0.965	2.49E-01	0.1205			
168	2.07E+01	-3.14E+01	1.16E+00	0.243	0.104	0.965	8.48E-02	0.2186			
Strip 7											
169	2.03E+01	-3.00E+01	1.10E+00	-0.128	-0.072	-0.989	1.04E-01	0.2778			
170	2.02E+01	-3.00E+01	1.12E+00	-0.109	-0.067	-0.992	3.04E-01	0.342			
171	1.99E+01	-3.00E+01	1.13E+00	0.009	-0.032	-0.999	4.84E-01	0.3626			
172	1.96E+01	-3.00E+01	1.11E+00	0.073	-0.012	-0.997	6.39E-01	0.3214			
173	1.91E+01	-3.00E+01	1.07E+00	0.113	0.001	-0.994	7.59E-01	0.2733			
174	1.86E+01	-3.00E+01	1.01E+00	0.12	0.004	-0.993	8.33E-01	0.2292			
175	1.80E+01	-3.00E+01	9.42E-01	0.099	-0.005	-0.995	8.56E-01	0.206			
176	1.74E+01	-3.00E+01	9.00E-01	0.049	-0.026	-0.998	8.28E-01	0.2298			
177	1.69E+01	-3.00E+01	8.90E-01	-0.012	-0.053	-0.999	7.54E-01	0.3167			
178	1.64E+01	-3.00E+01	9.08E-01	-0.072	-0.08	-0.994	6.40E-01	0.4584			
179	1.60E+01	-3.00E+01	9.47E-01	-0.141	-0.114	-0.984	4.91E-01	0.6429			
180	1.58E+01	-3.00E+01	1.00E+00	-0.284	-0.185	-0.941	3.20E-01	0.7499			
181	1.56E+01	-3.00E+01	1.07E+00	-0.654	-0.365	-0.662	1.53E-01	-0.2811			
182	1.56E+01	-3.00E+01	1.16E+00	-0.799	-0.399	0.449	2.33E-01	-3.7398			
183	1.58E+01	-3.00E+01	1.29E+00	-0.485	-0.225	0.845	3.60E-01	-3.2374			
184	1.60E+01	-3.00E+01	1.40E+00	-0.32	-0.139	0.937	5.18E-01	-2.2166			
185	1.64E+01	-3.00E+01	1.50E+00	-0.206	-0.083	0.975	6.54E-01	-1.8135			
186	1.69E+01	-3.00E+01	1.57E+00	-0.101	-0.033	0.994	7.58E-01	-1.5662			
187	1.74E+01	-3.00E+01	1.60E+00	0.003	0.013	1	8.26E-01	-1.3077			
188	1.80E+01	-3.00E+01	1.57E+00	0.097	0.052	0.994	8.55E-01	-0.9919			
189	1.86E+01	-3.00E+01	1.50E+00	0.163	0.077	0.984	8.38E-01	-0.6682			
190	1.91E+01	-3.00E+01	1.40E+00	0.204	0.092	0.975	7.71E-01	-0.3885			
